NaviAddr	StreetAddr
251152	Vestervang 25G
251153	Vestervang 25H
251154	Vestervang 25K
251155	Vestervangsparken 25
251156	Vestre Kongevej 25
251157	Vibevej 25
251158	Vibevænget 25
251159	Viborgvej 25
251160	Vidtskuevej 25B
251161	Vidtskuevej 25
251162	Vidtskuevej 25A
251163	Vikærsvej 25
251164	Vilh.Bergsøes Vej 25
251165	Vilhelm Becks Vej 25
251166	Vilhelmsborgvænget 25
251167	Vingetoften 25
251168	Vintervej 25
251169	Violvej 25
251170	Virup Skovvej 25
251171	Visbjerg Hegn 25
251172	Vistoftparken 25
251173	Vistoftvej 25
251174	Voldbjergvej 25
251175	Volden 25
251176	Volden 25B
251177	Voldgårdsvej 25
251178	Vosnæsparken 25
251179	Værkmestergade 25
251180	Willemoesgade 25
251181	Wilstersgade 25
251182	Yderupvej 25
251183	Ydunsvej 25
251184	Æblevænget 25
251185	Ønsbækvej 25
251186	Ørnebakken 25
251187	Ørnedalen 25
251188	Ørnegårdsvej 25
251189	Ørnehøjen 25
251190	Ørnelunden 25
251191	Ørneredevej 25
251192	Ørnevænget 25
251193	Ørnsøvej 25
251194	Ørvadsvej 25
251195	Ørvadsvej 25A
251196	Øsselbjergvej 25
251197	Østboulevarden 25
251198	Øster Alle 25
251199	Øster Kringelvej 25
251200	Østergade 25
251201	Østergårdsparken 25
251202	Østergårdstoften 25
251203	Østerløkken 25
251204	Østermarksvej 25
251205	Østervang 25
251206	Østervænget 25
251207	Østre Havevej 25
251208	Østre Strandalle 25
251209	Østrevej 25
251210	Åbogade 25
251211	Åbyhøjgård 25
251212	Åbyhøjvej 25
251213	Åbyvej 25
251214	Åbyvænget 25
251215	Ådalsvej 25
251216	Aage Bergs Vej 25
251217	Åkrogs Strandvej 25
251218	Ålborggade 25
251219	Ålesundsvej 25
251220	Ålykkevej 25
251221	Åmarksvej 25
251222	Årslev Markvej 25
251223	Årslev Møllevej 25
251224	Åskrænten 25
251225	Åstrup Strandvej 25
251226	Åvænget 25
240044	Abildgade 24
240045	Abildhaven 24
240046	Absalonsgade 24
240047	Adelvej 24
240048	Agernvej 24
240049	Agernvænget 24
240050	Agertoften 24
240051	Albert Naurs Vej 24
240052	Almindingen 24
240053	Alsvej 24
240054	Anker Jensens Vej 24
240055	Annekærvej 24
240056	Annettevej 24
240057	Aprilvej 24
240058	Araliavej 24
240059	Arendalsvej 24
240060	Arnegårdsvej 24
240061	Asmusgårdsvej 24
240062	Assensgade 24
240063	Assensgade 24C
240064	Attikavej 24
240065	Axel Kiers Vej 24
240066	B.S.Ingemanns Vej 24
240067	Badstuegade 24
240068	Bakke Alle 24
240069	Bakkegårdsvej 24
240070	Bakketoften 24
240071	Balagervej 24
240072	Baldrianvej 24
240073	Balskærvej 24
240074	Balticagade 24
240075	Banevolden 24
240076	Bangsboparken 24
240077	Baunevej 24
240078	Bavnegårdsvej 24
240079	Bavnebakken 24
240080	Bedervej 24
240081	Berberisvej 24
240082	Bernstorffsvej 24
240083	Bildbjerg Parkvej 24
240084	Bildbjergvej 24
240085	Birkebakken 24
240086	Birkegårdsvej 24
240087	Birkehaven 24
240088	Birkemosevej 24
240089	Birkevangen 24
240090	Birkevej 24
240091	Birksøvej 24
240092	Bjødstrup Mose, Haveforening 24
240093	Bjødstrupvej 24
240094	Bjørnholms Alle 24
240095	Bjørnholms Alle 24A
240096	Bjørnholt 24
240097	Bjørnkærvej 24
240098	Bjørnshøjvej 24
240099	Bjørnøvænget 24
240100	Blomsterhaven 24
240101	Blomstervangen 24
240102	Blomstervænget 24
240103	Blåbærhaven 24
240104	Blåbærvej 24
240105	Blåhøjtoften 24
240106	Blåmejsevej 24
240107	Blåmunkevej 24
240108	Bodøvej 24
240109	Bogøvænget 24
240110	Bondehaven 24
240111	Borneovej 24
240112	Borrevænget 24
240113	Brabrand Haveforening Af 1967 24
240114	Brabrand Skovvej 24
240115	Bragesvej 24
240116	Brammersgade 24
240117	Bredevej 24
240118	Bredgade 24
240119	Bredkær Grønnevej 24
240120	Bredkær Parkvej 24
240121	Bredkær Tværvej 24
240122	Bredkær Tværvej 24A
240123	Bredskiftevej 24
240124	Broagervej 24
240125	Brobjerg Parkvej 24
240126	Brohaven 24A
240127	Brohaven 24B
240128	Brohaven 24C
240129	Brohaven 24D
240130	Brombærhaven 24
240131	Bronzealdertoften 24
240132	Bronzealdervej 24A
240133	Bronzealdervej 24B
240134	Bronzealdervænget 24
240135	Brorsonsvej 24
240136	Brovænget 24
240137	Brydehøjvej 24
240138	Bryggervej 24
240139	Brynhøjvænget 24
240140	Bugthusene 24A
240141	Bugthusene 24B
240142	Byagervej 24A
240143	Byagervej 24B
240144	Byagervænget 24
240145	Bygaden 24A
240146	Bygaden 24B
240147	Bygaden 24C
240148	Bygaden 24D
240149	Bygaden 24E
240150	Bygaden 24F
240151	Bygaden 24G
240152	Bygmarken 24
240153	Bygmarksvej 24
240154	Bygvangen 24
240155	Byløkken 24
240156	Bymandsvej 24
240157	Bymosevej 24
240158	Bysmedevej 24
240159	Bystævnet 24
240160	Byvangs Alle 24
240161	Bækvangen 24
240162	Bærmosehøjen 24
240163	Bødker Balles Gård 24
240164	Bøgehaven 24
240165	Bøgekildevej 24
240166	Bøgeskov Høvej 24
240167	Bøgeskovparken 24
240168	Bøgeskovvej 24
240169	Bøgevænget 24
240170	Bøggildsvej 24
240171	Bøggildsvej 24E
240172	Børup Tværvej 24
240173	C.A.Thyregods Vej 24
240174	C.F.Aagaards Vej 24
240175	Capellavej 24
240176	Carit Etlars Vej 24
240177	Carl Jensens Vej 24
240178	Casper Møllers Vej 24
240179	Ceresbyen 24
240180	Charlottehøj, Haveforening 24
240181	Chr.Winthers Vej 24
240182	Chr.Wærums Gade 24
240183	Christian X's Vej 24
240184	Christiansgade 24
240185	Christiansgade 24A
240186	Dagland 24
240187	Dalbovej 24
240188	Dalhøjvænget 24
240189	Dalsagervej 24
240190	Dalsvinget 24
240191	Dalvangen 24
240192	Damagervej 24
240193	Damgårdsvej 24
240194	Damgårdstoften 24
240195	Damvej 24
240196	Damvænget 24
240197	Dannebrogsgade 24
240198	Daugbjergvej 24
240199	De Mezas Vej 24
240200	Degnebakken 24
240201	Delfivej 24
240202	Digesvalevej 24
240203	Digevænget 24
240204	Dr.Holsts Vej 24
240205	Drejøvænget 24
240206	Drosselvænget 24
240207	Dybkjær, Haveforening 24
240208	Dybkjærvej 24
240209	Edderfuglevej 24
240210	Edisonsvej 24
240211	Edithsvej 24
240212	Edwin Rahrs Vej 24
240213	Egebjergvej 24
240214	Egegade 24
240215	Egehaven 24
240216	Egernvej 24
240217	Egeskellet 24
240218	Egevangen 24
240219	Egevej 24
240220	Egevænget 24
240221	Eghovedvej 24
240222	Egå Strandvej 24
240223	Ekkodalen 24
240224	Elevvej 24
240225	Elishøj 24
240226	Ellebrinken 24A
240227	Ellebrinken 24B
240228	Ellebrinken 24C
240229	Ellebæk Parkvej 24
240230	Ellebækvej 24
240231	Ellehøjen 24
240232	Ellemosevænget 24
240233	Elleparken 24
240234	Elmehøjvej 24
240235	Elmehaven 24
240236	Elmetoften 24
240237	Elmosevej 24
240238	Elmosevej 24A
240239	Elmosevej 24B
240240	Elmosevej 24C
240241	Elmsager 24
240242	Elsted Kirkevej 24
240243	Elsdyrvej 24
240244	Elsted Byvej 24
240245	Elstedhøj 24
240246	Elstedvænge 24
240247	Elverdalsvej 24
240248	Emil Aarestrups Vej 24
240249	Emiliedalen 24
240250	Emiliehøj 24
240251	Emmasvej 24
240252	Enebærvej 24
240253	Enemærket 24
240254	Engdalgårdsvej 24
240255	Engelstoft 24
240256	Engelundsvej 24
240257	Enghaven, Haveforening 24
240258	Enghavevej 24
240259	Engholms Alle 24
240260	Engskovbakken 24
240261	Engskovvej 24A
240262	Engskovvej 24B
240263	Engskovgård 24
240264	Engsvinget 24
240265	Engskovtoften 24
240266	Engskovvænget 24
240267	Engtoften 24
240268	Engvangen 24
240269	Enøvænget 24
240270	Erbækvej 24
240271	Erik Bøghs Vej 24
240272	Ertebjerg 24A
240273	Ertebjerg 24B
240274	Espedalen 24
240275	F.G.E.Rostrups Vej 24
240276	F.Vestergaards Gade 24
240277	Farsundsvej 24
240278	Farøvænget 24
240279	Fasanvej 24
240280	Fasanvænget 24
240281	Fastrupvej 24
240282	Februarvej 24
240283	Fejøvænget 24
240284	Fenrisvej 24
240285	Filippavej 24
240286	Finlandsgade 24A
240287	Finlandsgade 24B
240288	Firkløvervej 24
240289	Fjordvej 24
240290	Fjældevænget 24
240291	Flakvej 24
240292	Flintebakken 24
240293	Fløjstrupvej 24
240294	Fornæsvej 24
240295	Fortebakken 24
240296	Fredensborgparken 24
240297	Fredensgade 24
240298	Fredensgårdsvej 24
240299	Frederiks Alle 24
240300	Frederiks Plads 24
240301	Frederiksgade 24
240302	Fridtjof Nansens Vej 24
240303	Frisenholt 24
240304	Fritiden, Haveforening 24
240305	Fritz Sybergs Vej 24
240306	Frodesvej 24
240307	Fruensbakke 24
240308	Fruenshøj 24
240309	Frydenlund, Haveforening 24
240310	Frøkærparken 24
240311	Fuglesangs Alle 24
240312	Fuglsøvej 24
240313	Fynsgade 24
240314	Fyrkatvej 24
240315	Gammel Holmevej 24
240316	Gammel Kirkevej 24
240317	Gammel Landevej 24
240318	Gammel Viborgvej 24
240319	Gammel Østergårdsvej 24
240320	Gammelgårdsvej 24
240321	Gammelgårdsvej 24A
240322	Gartnerhaven 24
240323	Gartnerparken 24A
240324	Gartnerparken 24B
240325	Gartnerparken 24C
240326	Gartnervænget 24
240327	Gavnøvænget 24
240328	Geding Byvej 24
240329	Gedingvej 24
240330	Gefionsvej 24
240331	Georgsmindevej 24
240332	Glænøvænget 24
240333	Godfred Hansens Vej 24
240334	Godthåbsgade 24
240335	Graven 24
240336	Graven 24B
240337	Grumstolsvej 24
240338	Grundtvigsvej 24
240339	Grydhøjvej 24
240340	Grænsen, Haveforening 24
240341	Græsvangen 24A
240342	Græsvangen 24B
240343	Græsvangen 24C
240344	Græsvangen 24D
240345	Grønhøjvej 24
240346	Grønløkke Alle 24
240347	Gudrunsvej 24
240348	Guldsmedgade 24
240349	Guldsmedgade 24A
240350	Guldsmedgade 24B
240351	Gunnar Clausens Vej 24
240352	Gunnar Clausens Vej 24A
240353	Gunnar Clausens Vej 24B
240354	Gustav Holms Vej 24
240355	Gyldenkronesvej 24
240356	H.C.Andersens Vej 24
240357	H.C.Ørsteds Vej 24
240358	Hendrik Pontoppidans Gade 24
240359	Haldsøvej 24
240360	Halmøvænget 24
240361	Hamphøjvej 24
240362	Hans Tausens Vej 24
240363	Hanstholmvej 24
240364	Harald Kiddes Vej 24
240365	Harlevholmvej 24
240366	Haslegårdsvej 24
240367	Haslehøjvej 24
240368	Haslevangsvej 24
240369	Hasselager Centervej 24
240370	Hasselbakken 24
240371	Hasselhaven 24
240372	Hasselhøj 24
240373	Hasseltoften 24
240374	Hasselengen 24
240375	Hasselvangen 24
240376	Hattemagertoften 24
240377	Haveforeningen Af 10.Maj 1918 24
240378	Haveforening Af 1934 24
240379	Havkærparken 24
240380	Havkærtoften 24
240381	Havkærvej 24
240382	Havkærvænget 24
240383	Havlundsvej 24
240384	Havnegade 24
240385	Havrebakken 24
240386	Havremarken 24
240387	Havremarksvej 24
240388	Hedeskovvej 24
240389	Hedevej 24
240390	Heibergsgade 24
240391	Hejrebakken 24
240392	Hejredalsvej 24
240393	Helenelyst 24
240394	Helgesvej 24
240395	Helsingforsgade 24
240396	Henrik Hertz Vej 24
240397	Herluf Trolles Gade 24
240398	Herluf Trolles Gade 24A
240399	Herluf Trolles Gade 24B
240400	Herluf Trolles Gade 24C
240401	Herredsvej 24
240402	Hindbærhaven 24
240403	Hindøvænget 24
240404	Hirtshalsvej 24
240405	Hjelmagervej 24
240406	Hjelmagervænget 24
240407	Hjelmensgade 24
240408	Hjortensgade 24
240409	Hjortshøj Stationsvej 24A
240410	Hjortshøj Stationsvej 24B
240411	Hjortshøj Stationsvej 24C
240412	Hjortshøj Stationsvej 24D
240413	Hjortshøj Stationsvej 24E
240414	Hjortshøjparken 24
240415	Hjortshøjvangen 24A
240416	Hjortshøjvangen 24
240417	Hjulbjergvej 24
240418	Hjulgårdsvej 24
240419	Hoffmannsvej 24
240420	Holbergsgade 24
240421	Holme Byvej 24
240422	Holme Møllevej 24
240423	Holme Møllevej 24A
240424	Holme Møllevej 24B
240425	Holme Møllevej 24C
240426	Holme Møllevej 24D
240427	Holme Møllevej 24E
240428	Holme Møllevej 24F
240429	Holme Parkvej 24
240430	Holmegårdsvej 24
240431	Holmetoften 24
240432	Holmevangen 24
240433	Holmkærvej 24
240434	Holmstrupgårdvej 24
240435	Holmstrupgårdvej 24A
240436	Holmstruphøjvej 24
240437	Holtevej 24
240438	Horsevænget 24
240439	Hougårdsvej 24
240440	Hovedgaden 24
240441	Humlehaven, Haveforening 24
240442	Humlehusvej 24
240443	Humlevej 24
240444	Hundkærvej 24
240445	Hvedebjergvej 24
240446	Hvedevangen 24
240447	Hvidbjergvej 24
240448	Hybenhaven 24
240449	Hyldehaven 24
240450	Hyldevej 24
240451	Hæstvej 24
240452	Høgemosevej 24
240453	Høgevænget 24
240454	Højager 24A
240455	Højager 24B
240456	Højagerparken 24
240457	Højgårdsparken 24A
240458	Højgårdsparken 24B
240459	Højkolvej 24
240460	Højlundsparken 24
240461	Højlundvej 24
240462	Højmarkvej 24
240463	Højvangsvej 24
240464	Hømosevej 24
240465	Hørgårdsvej 24
240466	Hørmarks Alle 24
240467	Hørretløkken 24
240468	Hørretvej 24
240469	Høskovvej 24
240470	Høvej 24B
240471	Høvej 24
240472	Høvænget 24
240473	Ildervej 24
240474	Illerupvej 24
240475	Ingerslevs Boulevard 24
240476	Ingerslevvej 24
240477	Irisvej 24
240478	Ivar Huitfeldts Gade 24
240479	J.L.Heibergs Vej 24
240480	J.P.Larsens Vej 24
240481	J.Skjoldborgs Vej 24
240482	Jadevej 24
240483	Jagtvej 24
240484	Jacob Adelborgs Alle 24A
240485	Jacob Adelborgs Alle 24B
240486	Januarvej 24
240487	Janus La Cours Gade 24
240488	Jarlsmindevej 24
240489	Jasminvej 24
240490	Jegstrupvej 24
240491	Jelshøjvej 24
240492	Jelshøjvænget 24
240493	Jens Baggesens Vej 24
240494	Jens Chr.Skous Vej 24
240495	Jens Ibsens Vej 24
240496	Jens Juuls Vej 24
240497	Jens Munks Vej 24
240498	Jerichausgade 24
240499	Jernaldervænget 24
240500	Johannes Ewalds Vej 24
240501	Julivej 24
240502	Julsøvej 24A
240503	Julsøvej 24B
240504	Junivej 24
240505	Junovej 24
240506	Jyllands Alle 24
240507	Jættehøjen 24
240508	Jævndøgnsvej 24
240509	Kalendervej 24
240510	Kalmargade 24
240511	Kamma Rahbeks Vej 24
240512	Kanehaven 24
240513	Kantorparken 24
240514	Kappelvænget 24A
240515	Kappelvænget 24B
240516	Karensmindevej 24
240517	Karensvej 24
240518	Karetmagertoften 24
240519	Kaserneboulevarden 24
240520	Kastanievej 24
240521	Kastanjehaven 24
240522	Kasted Byvej 24
240523	Kasted Byvej 24A
240524	Kasted Byvej 24B
240525	Kasted Tværvej 24
240526	Katterhøjvej 24
240527	Ketting Parkvej 24
240528	Kildeagertoften 24
240529	Kildehaven 24
240530	Kildehøjen 24
240531	Kileparken 24
240532	Kirkeager 24
240533	Kirkedammen 24
240534	Kirketorvet 24
240535	Kirkevangen, Haveforening 24
240536	Kirkevej 24
240537	Kirkevænget 24
240538	Kirsebærhaven 24
240539	Kirsebærvej 24
240540	Kjærslund 24
240541	Klamsagervej 24
240542	Klemivej 24
240543	Klintevej 24
240544	Klintevej 24A
240545	Klokkerbakken 24
240546	Klokkerfaldet 24
240547	Kløvermarksvej 24
240548	Kløvervangen 24
240549	Knudevejen 24
240550	Knudrisgade 24
240551	Kolt Kirkevej 24
240552	Kolt Østervej 24
240553	Koltvej 24
240554	Kolt Østerparken 24
240555	Kongsgårdsvej 24
240556	Kongsvang Alle 24
240557	Kornelvej 24
240558	Kornmodsbakken 24
240559	Korshøjen 24
240560	Krekærlunds Alle 24
240561	Kresten Kolds Vej 24
240562	Kringelvej 24
240563	Krogagre 24
240564	Kronborgvej 24
240565	Kræsten Iversens Vej 24
240566	Kunnerupvej 24
240567	Kunneruphøj 24
240568	Kunnerupvangen 24
240569	Kvædevej 24
240570	Kystparkvej 24
240571	Kærgårdsparken 24
240572	Kærgårdsvej 24
240573	Kærlundvej 24
240574	Kærsvinget 24
240575	Kærtoften 24
240576	Kærvænget 24
240577	L.A.Rings Vej 24
240578	L.A.Rings Vej 24A
240579	L.P.Bechs Vej 24
240580	Ladefogedvej 24
240581	Ladegårdsbakken 24
240582	Langballevej 24
240583	Langballevænget 24
240584	Langdalsvej 24
240585	Langdalsvej 24A
240586	Langelandsgade 24
240587	Langenæs Alle 24
240588	Langkærvej 24
240589	Langtoftevej 24
240590	Langvad 24
240591	Langøvænget 24
240592	Laskedalen 24
240593	Laurbærvænget 24
240594	Lauritshøj 24
240595	Laurvigsgade 24
240596	Lerbjerg 24
240597	Lerdalen 24
240598	Lergravvænget 24
240599	Lerhus Alle 24
240600	Lethenborgvej 24
240601	Lille Elstedvej 24
240602	Lillehammervej 24
240603	Lilleringvej 24
240604	Lindenborgvej 24
240605	Lindevej 24
240606	Lindevej 24A
240607	Lindevænget 24
240608	Lindholmvej 24
240609	Lindøvænget 24
240610	Lisbjergbakken 24
240611	Livøvænget 24
240612	Logistikparken 24
240613	Lokesvej 24
240614	Lollandsgade 24
240615	Louisevej 24
240616	Ludvig Feilbergs Vej 24
240617	Ludvig Holbergs Vej 24
240618	Lundbyesgade 24
240619	Lundgårdsvej 24
240620	Lundingsgade 24
240621	Lundshøjgårdsvej 24
240622	Lundshøjvej 24A
240623	Lundshøjvej 24B
240624	Lykkegårdsvej 24
240625	Lykkenshøj 24
240626	Lykkesholms Alle 24
240627	Lyngvej 24
240628	Lystruplund 24
240629	Lystrupvej 24
240630	Lægårdsvej 24
240631	Lærkehaven 24
240632	Lærkehøjvej 24
240633	Lærkesvinget 24
240634	Lærkevænget 24
240635	Læssøesgade 24
240636	Løjenkærvej 24
240637	Løkkenvej 24
240638	Løvagervej 24
240639	Madsbjergparken 24
240640	Magnoliavej 24
240641	Majsmarken 24
240642	Majsvænget 24
240643	Majvej 24
240644	Mallinggårdsvej 24A
240645	Mallinggårdsvej 24B
240646	Malmøgade 24
240647	Manbjergvej 24
240648	Mandalsvej 24
240649	Mandøvænget 24
240650	Mariedalsvej 24
240651	Marienlyst, Haveforening 24
240652	Marienlystvej 24
240653	Marselis Boulevard 24
240654	Marselis Boulevard 24B
240655	Marselisborg Alle 24
240656	Marselisborg Havnevej 24
240657	Marstrandsgade 24
240658	Martin Vahls Vej 24
240659	Mejlbyparken 24
240660	Mejlbyvej 24
240661	Mejlgade 24
240662	Mejløvænget 24
240663	Merianvej 24
240664	Miltonsvej 24
240665	Minthøjvej 24
240666	Moesgård Alle 24
240667	Moesgårdvej 24
240668	Moltkesvej 24
240669	Mondrupsvej 24A
240670	Mondrupsvej 24B
240671	Mondrupsvej 24C
240672	Monradsvej 24
240673	Morbærvej 24
240674	Morten Børups Gade 24
240675	Moselund, Haveforening 24
240676	Moselunden 24
240677	Mosegårdsparken 24
240678	Moseparken 24
240679	Multebærvej 24
240680	Munkebakkevej 24
240681	Museumsgade 24
240682	Museumsgade 24B
240683	Muslingevej 24
240684	Mustrupvej 24
240685	Musvågevej 24
240686	Myntevej 24A
240687	Myntevej 24B
240688	Møddebro Parkvej 24
240689	Møddebrovej 24
240690	Møgelgårdsvej 24
240691	Møgelmosevej 24
240692	Møllegårdsparken 24
240693	Mølleparken 24
240694	Møllestien 24
240695	Møllevangs Alle 24
240696	Mågevænget 24
240697	Mårslet Byvej 24
240698	Nabovej 24
240699	Nattergalevej 24
240700	Naurvej 24
240701	Nedergårdsvej 24
240702	Nellikevej 24
240703	Neptunvej 24
240704	Niels Bjerres Vej 24
240705	Niels Bohrs Vej 24
240706	Nobilis, Haveforening 24
240707	Nobilisvej 24
240708	Nordborggade 24
240709	Nordmanvej 24
240710	Nordre Strandvej 24
240711	Nordrevej 24
240712	Nordvejen 24
240713	Nordvestpassagen 24
240714	Norsgade 24
240715	Norsgade 24B
240716	Norsmindevej 24
240717	Novembervej 24
240718	Ny Munkegade 24
240719	Ny Tjørnegade 24
240720	Nygade 24
240721	Nyløkkevej 24
240722	Nymarks Alle 24
240723	Nymarksvej 24A
240724	Nymarksvej 24B
240725	Nymarksvej 24C
240726	Nymarksvej 24D
240727	Nymarksvej 24E
240728	Nymarksvej 24F
240729	Nymarksvej 24G
240730	Nymarksvej 24H
240731	Nymarksvej 24K
240732	Nymarksvej 24L
240733	Nytoften 24
240734	Nyringen 24
240735	Nyvangsvej 24
240736	Nyvej 24
240737	Næringen 24
240738	Nørre Alle 24
240739	Nørre Alle 24B
240740	Nørregade 24
240741	Nørreport 24
240742	Nørresøvej 24
240743	Nørrevænget 24
240744	Obstruphøjen 24
240745	Obstrupengen 24
240746	Obstrupparken 24
240747	Obstruptoften 24
240748	Oddervej 24
240749	Odensegade 24
240750	Oehlenschlægersvej 24
240751	Olaf Rudes Vej 24
240752	Oldhøjen, Haveforening 24
240753	Oldjorden, Haveforening 24
240754	Omegaparken 24
240755	Olof Palmes Alle 24
240756	Onsholtvej 24
240757	Onsholtgårdsvej 24
240758	Ordrupvej 24
240759	Orionsvej 24
240760	Ormslevvej 24
240761	Orøvænget 24
240762	Oslogade 24
240763	Otto Sverdrups Vej 24
240764	Ovesdal 24
240765	Peter Eriksens Vej 24
240766	Poul Martin Møllers Vej 24
240767	P.Mønsteds Alle 24
240768	P.O.Pedersens Vej 24
240769	P.S.Krøyers Vej 24
240770	Pakhusvej 24
240771	Pallisvej 24
240772	Paludan-Müllers Vej 24
240773	Pannerupvej 24
240774	Parkvænget 24
240775	Per Kjals Vej 24
240776	Pihlkjærsvej 24
240777	Pilevangen 24
240778	Pilevænget 24
240779	Plantagen 24
240780	Plantagevej 24A
240781	Plantagevej 24B
240782	Plantagevej 24C
240783	Porsgrunnsvej 24
240784	Porskær 24
240785	Pottemagertoften 24
240786	Poul Sloths Vej 24
240787	Prins Knuds Vej 24
240788	Provstebakken 24
240789	Provsteparkvej 24
240790	Præsteager 24
240791	Præstegårdsvej 24
240792	Præstehaven 24
240793	Præstekravevej 24
240794	Præstelodden 24
240795	Præstetoften 24
240796	Præstevangsvej 24
240797	Resedavej 24
240798	Reventlowsvej 24
240799	Risskov Haveforening 24
240800	Ringkøbingvej 24
240801	Risbøgevej 24
240802	Risdalsvej 24
240803	Risdalsvej 24A
240804	Risvang Alle 24
240805	Roald Amundsens Vej 24
240806	Roarsvej 24
240807	Rokhøj 24
240808	Rolighedsvej 24A
240809	Rolighedsvej 24B
240810	Rosendalvej 24
240811	Rosenhøj 24A
240812	Rosenhøj 24B
240813	Rosenhøj 24C
240814	Rosenkrantzgade 24
240815	Rosensgade 24
240816	Rosensgade 24B
240817	Rosensgade 24C
240818	Rosenvangs Alle 24
240819	Rosenvej 24
240820	Roukær Alle 24
240821	Rouloen 24
240822	Rudolph Wulffs Gade 24
240823	Rugbjergvej 24
240824	Rughavevej 24
240825	Rugmarken 24
240826	Rundhøj Alle 24
240827	Runegårdsvej 24
240828	Runehøjen 24
240829	Runestenen 24
240830	Rungstedvej 24
240831	Ryesgade 24
240832	Ryhaven 24
240833	Rymarken 24
240834	Rypevej 24
240835	Ryslingevej 24
240836	Ryvangs Alle 24
240837	Rætebølvej 24
240838	Rødegevej 24
240839	Rødlundvej 24
240840	Rødtjørnvej 24
240841	Rømøvænget 24
240842	Rønbjergvej 24
240843	Rønnehaven 24
240844	Rønnevangen 24A
240845	Rønnevangen 24B
240846	Rønnevænget 24
240847	Rørsangervej 24
240848	Råhøjen 24
240849	Råhøjparken 24
240850	Råhøjtoften 24
240851	Råhøjvænget 24
240852	Sabro Skolevej 24
240853	Sabro Skovvej 24
240854	Sadelmagertoften 24
240855	Safirvej 24
240856	Salamanderparken 24
240857	Saltholmsgade 24
240858	Samsøgade 24
240859	Samuel Morses Vej 24
240860	Sanatorievej 24
240861	Sandagervej 24
240862	Sandbakken 24
240863	Sandkåsvej 24
240864	Sandmosevej 24A
240865	Sandmosevej 24B
240866	Sandmosevej 24C
240867	Sandmosevej 24D
240868	Sandmosevej 24E
240869	Sandmosevej 24F
240870	Sandmosevej 24G
240871	Saralyst Alle 24
240872	Saralystparken 24
240873	Schleppegrellsgade 24
240874	Sejrs Alle 24
240875	Selmersvej 24
240876	Sensommervej 24
240877	Septembervej 24
240878	Sigridsvej 24
240879	Sintrupvej 24
240880	Sivsangervej 24
240881	Siøvænget 24
240882	Sjællandsgade 24
240883	Skagenvej 24
240884	Skarøvænget 24
240885	Skejbygårdsvej 24
240886	Skejby Vænge 24
240887	Skelagervej 24A
240888	Skelagervej 24B
240889	Skelagervej 24C
240890	Skelagervej 24D
240891	Skejbytoften 24
240892	Skelbækvej 24
240893	Skejbyparken 24
240894	Skeltoften 24
240895	Skodshøjen 24
240896	Skolegade 24
240897	Skolelodden 24
240898	Skoleparken 24
240899	Skolesvinget 24
240900	Skolevangs Alle 24
240901	Skovagervej 24
240902	Skovbakkevej 24
240903	Skovbrynet 24
240904	Skovfyrvej 24
240905	Skovgårdsvænget 24
240906	Skovhøj 24
240907	Skovlundgårdsvej 24
240908	Skovlunden, Haveforening 24
240909	Skovparken 24
240910	Skovvangsvej 24
240911	Skovvejen 24
240912	Skovvænget 24
240913	Skt.Anna Gade 24
240914	Skt.Marcus Kirkeplads 24
240915	Skt.Pauls Gade 24
240916	Skærgårdsparken 24
240917	Skæring Egager 24
240918	Skæring Kirkevej 24
240919	Skæring Parkvej 24
240920	Skæring Sandager 24
240921	Skæring Strandvej 24
240922	Skæringvangen 24
240923	Skødstrupbakken 24
240924	Skådehøjen 24
240925	Skåde Højgårdsvej 24
240926	Skåde Skovvej 24
240927	Smedestien 24
240928	Snebærvej 24
240929	Snogebæksvej 24
240930	Snovdrupvej 24
240931	Solbjerg Hovedgade 24
240932	Solbjerg Hedevej 24
240933	Solbærhaven 24
240934	Solhvervsvej 24
240935	Solhøjvej 24
240936	Solklintvej 24
240937	Solmarksvej 24
240938	Solsortevænget 24
240939	Solvangen, Haveforening 24
240940	Solvejen 24
240941	Sommersmindevej 24
240942	Sophus Bauditz Vej 24
240943	Spicavej 24
240944	Spiræavej 24
240945	Spobjergvej 24
240946	St.Blichers Vej 24
240947	St.St.Blichers Gade 24
240948	Stadion Alle 24
240949	Staghøjvej 24
240950	Stampesvej 24
240951	Starupvej 24
240952	Stationsgade 24
240953	Stavneagervej 24
240954	Stavnsvej 24
240955	Stavtrupvej 24
240956	Stenbækvej 24
240957	Stenhøjgårdsvej 24
240958	Stenkløvervej 24
240959	Stennehøj Alle 24
240960	Stenrosevej 24
240961	Stensagervej 24
240962	Stenvendervej 24
240963	Stokbrovej 24
240964	Stokrosevej 24
240965	Storhøjvej 24
240966	Storringvej 24
240967	Storskovvej 24
240968	Strandagervej 24
240969	Strandbakkevej 24
240970	Strandborgvej 24
240971	Strandbovej 24
240972	Strandbyvej 24A
240973	Strandbyvej 24B
240974	Strandmarksvej 24
240975	Strandparken 24
240976	Strandtoften 24
240977	Strynøvænget 24
240978	Studsgade 24
240979	Studsgade 24A
240980	Studstrup Strandvej 24
240981	Studstrupvej 24
240982	Stålhøjen 24
240983	Svalevej 24
240984	Svalevænget 24
240985	Svendgårdsvej 24
240986	Sydbakken 24
240987	Sydtoften 24
240988	Sylbækvej 24
240989	Synnedrupvej 24
240990	Sødalsparken 24
240991	Søftenvej 24
240992	Søholm, Haveforening 24
